사용월,호선명,역ID,지하철역,유임승차,유임하차,무임승차,무임하차
2021년 2월,1호선,1,서울역,759952 ,717577 ,126806 ,118305 
2021년 2월,1호선,10,동묘앞,101399 ,110147 ,119847 ,121919 
2021년 2월,1호선,2,시청,371198 ,370551 ,47249 ,44775 
2021년 2월,1호선,3,종각,614268 ,580930 ,89721 ,83724 
2021년 2월,1호선,4,종로3가,342618 ,309972 ,201763 ,188147 
2021년 2월,1호선,5,종로5가,293721 ,296102 ,179534 ,173183 
2021년 2월,1호선,6,동대문,175375 ,164614 ,85986 ,84201 
2021년 2월,1호선,7,신설동,214732 ,213345 ,85342 ,81900 
2021년 2월,1호선,8,제기동,189595 ,185421 ,207202 ,223286 
2021년 2월,1호선,9,청량리(서울시립대입구),262879 ,262989 ,210004 ,211641 
2021년 2월,2호선,11,시청,430547 ,407926 ,34311 ,30492 
2021년 2월,2호선,12,을지로입구,734357 ,737899 ,66069 ,61828 
2021년 2월,2호선,13,을지로3가,375280 ,366641 ,51372 ,50208 
2021년 2월,2호선,14,을지로4가,199825 ,196843 ,64484 ,62910 
2021년 2월,2호선,15,동대문역사문화공원(DDP),213025 ,240152 ,36013 ,37670 
2021년 2월,2호선,16,신당,238008 ,248611 ,69731 ,71454 
2021년 2월,2호선,17,상왕십리,256864 ,248299 ,43988 ,44725 
2021년 2월,2호선,18,왕십리(성동구청),310137 ,262897 ,35156 ,30566 
2021년 2월,2호선,19,한양대,126549 ,131862 ,7718 ,8078 
2021년 2월,2호선,20,뚝섬,410086 ,438697 ,39336 ,39805 
2021년 2월,2호선,21,성수,652288 ,714934 ,73308 ,74960 
2021년 2월,2호선,22,건대입구,696525 ,735207 ,60771 ,63376 
2021년 2월,2호선,23,구의(광진구청),438923 ,434435 ,70941 ,72807 
2021년 2월,2호선,24,강변(동서울터미널),619233 ,615940 ,76075 ,73839 
2021년 2월,2호선,25,잠실나루,237945 ,230085 ,52877 ,53183 
2021년 2월,2호선,26,잠실(송파구청),1373334 ,1351704 ,119996 ,114684 
2021년 2월,2호선,27,잠실새내,385524 ,390732 ,67015 ,66924 
2021년 2월,2호선,28,종합운동장,116470 ,126488 ,23005 ,23676 
2021년 2월,2호선,29,삼성(무역센터),961970 ,971820 ,72837 ,66111 
