사용월,호선명,역ID,지하철역,04:00:00~04:59:59,,05:00:00~05:59:59,,06:00:00~06:59:59,,07:00:00~07:59:59,,08:00:00~08:59:59,,09:00:00~09:59:59,,10:00:00~10:59:59,,11:00:00~11:59:59,,12:00:00~12:59:59,,13:00:00~13:59:59,,14:00:00~14:59:59,,15:00:00~15:59:59,,16:00:00~16:59:59,,17:00:00~17:59:59,,18:00:00~18:59:59,,19:00:00~19:59:59,,20:00:00~20:59:59,,21:00:00~21:59:59,,22:00:00~22:59:59,,23:00:00~23:59:59,,00:00:00~00:59:59,,01:00:00~01:59:59,,02:00:00~02:59:59,,03:00:00~03:59:59,
,,,,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차
44228 ,1호선,1 ,서울역,493 ,12 ,6445 ,4504 ,8364 ,25347 ,26091 ,66158 ,42866 ,140328 ,33447 ,92337 ,33278 ,47368 ,39950 ,40294 ,47805 ,43587 ,49828 ,44404 ,42969 ,40701 ,53206 ,42160 ,61118 ,42128 ,93548 ,49396 ,140663 ,54309 ,69747 ,36809 ,47644 ,24679 ,52627 ,22694 ,29399 ,13320 ,7255 ,4968 ,15 ,379 ,0 ,0 ,0 ,0 ,0 ,0 
44228 ,1호선,10 ,동묘앞,65 ,0 ,2171 ,700 ,2603 ,3472 ,4276 ,5447 ,6820 ,14057 ,5728 ,12840 ,6744 ,15084 ,10776 ,21380 ,15089 ,25624 ,19731 ,28715 ,25664 ,28022 ,28861 ,23008 ,29053 ,15491 ,25125 ,10891 ,19239 ,7788 ,7424 ,5351 ,4445 ,3761 ,4112 ,4340 ,2574 ,3655 ,743 ,1688 ,3 ,750 ,0 ,2 ,0 ,0 ,0 ,0 
44228 ,1호선,2 ,시청,23 ,0 ,1417 ,2894 ,2078 ,13712 ,4718 ,45518 ,5998 ,125335 ,6193 ,59399 ,6989 ,23461 ,10807 ,21931 ,11896 ,19321 ,14799 ,19451 ,18781 ,16907 ,25115 ,14555 ,29942 ,12573 ,53002 ,12231 ,102882 ,12033 ,39152 ,5910 ,32385 ,3512 ,33347 ,3609 ,16312 ,2125 ,2610 ,788 ,0 ,60 ,1 ,1 ,0 ,0 ,0 ,0 
44228 ,1호선,3 ,종각,110 ,1 ,1746 ,3401 ,2303 ,16893 ,4223 ,71723 ,6764 ,161487 ,7909 ,98800 ,11523 ,42528 ,17804 ,36273 ,22615 ,33698 ,27110 ,36398 ,32901 ,30368 ,42529 ,26111 ,49256 ,26250 ,90503 ,26847 ,146648 ,28063 ,68451 ,13299 ,61844 ,5132 ,72140 ,3982 ,33629 ,2353 ,3973 ,963 ,8 ,84 ,0 ,0 ,0 ,0 ,0 ,0 
44228 ,1호선,4 ,종로3가,104 ,20 ,2145 ,2314 ,2274 ,8326 ,3195 ,17622 ,5410 ,52303 ,7824 ,53559 ,13641 ,45028 ,23351 ,45035 ,29783 ,44676 ,36625 ,46952 ,40804 ,43609 ,46454 ,35926 ,50483 ,29746 ,59497 ,25150 ,76974 ,23874 ,45422 ,10537 ,35968 ,4633 ,40632 ,4420 ,20750 ,2695 ,3032 ,1426 ,12 ,267 ,0 ,0 ,1 ,1 ,0 ,0 
44228 ,1호선,5 ,종로5가,130 ,2 ,1141 ,2642 ,1828 ,10635 ,3433 ,28254 ,5518 ,82154 ,7985 ,48403 ,13410 ,38580 ,20498 ,37457 ,25766 ,37881 ,30145 ,37117 ,37105 ,34679 ,42149 ,30040 ,46447 ,23769 ,58475 ,20402 ,79614 ,16551 ,37693 ,8950 ,25523 ,3779 ,23405 ,3740 ,11277 ,2714 ,1710 ,1380 ,3 ,156 ,0 ,0 ,0 ,0 ,0 ,0 
44228 ,1호선,6 ,동대문,461 ,6 ,9503 ,1483 ,6597 ,4514 ,9945 ,8050 ,13961 ,17637 ,13145 ,16568 ,11660 ,15609 ,13750 ,17800 ,16685 ,19216 ,18142 ,18879 ,19861 ,18184 ,21045 ,16513 ,21578 ,15158 ,21512 ,15215 ,20512 ,15284 ,13451 ,15188 ,11181 ,9711 ,10411 ,9026 ,6046 ,7633 ,1902 ,6260 ,12 ,880 ,1 ,0 ,0 ,1 ,0 ,0 
44228 ,1호선,7 ,신설동,257 ,10 ,6075 ,2195 ,6206 ,7280 ,13019 ,17924 ,18478 ,47150 ,13010 ,26256 ,11697 ,16448 ,13822 ,15582 ,14763 ,15792 ,17526 ,16344 ,18013 ,15669 ,19370 ,15218 ,22636 ,15316 ,32222 ,16715 ,44951 ,20611 ,17225 ,15193 ,12332 ,9438 ,11229 ,10585 ,5884 ,7734 ,1352 ,3499 ,7 ,286 ,0 ,0 ,0 ,0 ,0 ,0 
44228 ,1호선,8 ,제기동,263 ,1 ,3679 ,1617 ,6107 ,5994 ,15492 ,14308 ,23658 ,30904 ,16858 ,27630 ,19504 ,30850 ,26925 ,36770 ,33471 ,36345 ,36799 ,38940 ,39479 ,40118 ,40528 ,34349 ,34888 ,25524 ,33125 ,19901 ,29526 ,20255 ,13027 ,14799 ,8801 ,9517 ,7786 ,10098 ,5279 ,7572 ,1596 ,2949 ,6 ,266 ,0 ,0 ,0 ,0 ,0 ,0 
