,연면적-철근·철골조[㎡],연면적-조적조[㎡],연면적-목조[㎡],연면적-기타(자재별)[㎡],연면적-주거용[㎡],연면적-상업용[㎡],연면적-공업용[㎡],연면적-교육및사회용[㎡],연면적-기타(용도별)[㎡],연면적-자재별[㎡],연면적-용도별[㎡],동수-철근·철골조[동수],동수-조적조[동수],동수-목조[동수],동수-기타(자재별)[동수],동수-주거용[동수],동수-상업용[동수],동수-공업용[동수],동수-교육및사회용[동수],동수-기타(용도별)[동수],동수-자재별[동수],동수-용도별[동수]
2000-08-01,3898712.0,122063.0,5229.0,287185.0,1812355.0,1088979.0,687577.0,0.0,724278.0,4313189.0,4313189.0,4319.0,1216.0,58.0,1078.0,2905.0,2008.0,741.0,0.0,1017.0,6671.0,6671.0
2000-09-01,3055754.0,113586.0,5918.0,236449.0,1273430.0,1014900.0,702592.0,0.0,420785.0,3411707.0,3411707.0,3910.0,1128.0,70.0,793.0,2653.0,1756.0,652.0,0.0,840.0,5901.0,5901.0
2000-10-01,4104565.0,134648.0,8006.0,314620.0,1908535.0,1095874.0,1011477.0,0.0,545953.0,4561839.0,4561839.0,4970.0,1290.0,61.0,1183.0,3246.0,2264.0,874.0,0.0,1120.0,7504.0,7504.0
2000-11-01,4337103.0,108212.0,7727.0,283128.0,2415543.0,1164943.0,613744.0,0.0,541940.0,4736170.0,4736170.0,4497.0,1128.0,62.0,1088.0,2801.0,2050.0,816.0,0.0,1108.0,6775.0,6775.0
2000-12-01,6027008.0,161879.0,26079.0,453178.0,3450325.0,1412322.0,1069299.0,0.0,736198.0,6668144.0,6668144.0,3581.0,941.0,70.0,986.0,2080.0,1619.0,748.0,0.0,1131.0,5578.0,5578.0
2001-01-01,2304948.0,57170.0,3384.0,214815.0,1050052.0,697637.0,510674.0,0.0,321954.0,2580317.0,2580317.0,2214.0,486.0,36.0,476.0,1194.0,1020.0,498.0,0.0,500.0,3212.0,3212.0
2001-02-01,2954145.0,104832.0,3249.0,312622.0,1492460.0,1031700.0,496301.0,0.0,354387.0,3374848.0,3374848.0,3651.0,832.0,30.0,656.0,2446.0,1417.0,661.0,0.0,645.0,5169.0,5169.0
2001-03-01,5096134.0,262844.0,6609.0,247608.0,2549532.0,1564369.0,961749.0,0.0,537545.0,5613195.0,5613195.0,6402.0,1640.0,58.0,958.0,4651.0,2473.0,943.0,0.0,991.0,9058.0,9058.0
2001-04-01,5528175.0,233134.0,14411.0,713808.0,2792672.0,2046327.0,816046.0,0.0,834483.0,6489528.0,6489528.0,7649.0,1937.0,117.0,982.0,5936.0,2658.0,1005.0,0.0,1086.0,10685.0,10685.0
2001-05-01,5942922.0,192167.0,10780.0,284248.0,2830820.0,1921324.0,770935.0,0.0,907038.0,6430117.0,6430117.0,8333.0,1710.0,81.0,1018.0,6155.0,2776.0,957.0,0.0,1254.0,11142.0,11142.0
2001-06-01,7876353.0,151333.0,17516.0,13224.0,3097117.0,2844418.0,1164247.0,491445.0,461199.0,8058426.0,8058426.0,11606.0,1531.0,161.0,93.0,5862.0,3765.0,1840.0,438.0,1486.0,13391.0,13391.0
2001-07-01,5660442.0,199376.0,10420.0,299062.0,2732614.0,1758356.0,839473.0,0.0,838857.0,6169300.0,6169300.0,7721.0,1392.0,95.0,1044.0,5554.0,2499.0,1042.0,0.0,1157.0,10252.0,10252.0
2001-08-01,7563480.0,141813.0,8552.0,255900.0,4172243.0,2323601.0,852075.0,0.0,621826.0,7969745.0,7969745.0,8070.0,1179.0,59.0,890.0,5525.0,2531.0,1070.0,0.0,1072.0,10198.0,10198.0
2001-09-01,6634917.0,154756.0,6976.0,261645.0,3526060.0,1943647.0,770010.0,0.0,818577.0,7058294.0,7058294.0,8224.0,1386.0,79.0,918.0,5860.0,2648.0,939.0,0.0,1160.0,10607.0,10607.0
2001-10-01,5372812.0,146765.0,9491.0,236076.0,2812185.0,1640637.0,844063.0,0.0,468259.0,5765144.0,5765144.0,7662.0,1259.0,84.0,808.0,5292.0,2538.0,904.0,0.0,1079.0,9813.0,9813.0
2001-11-01,6732890.0,137990.0,13023.0,251689.0,3590765.0,1885518.0,1006502.0,0.0,652807.0,7135592.0,7135592.0,7816.0,1143.0,94.0,966.0,5058.0,2579.0,1148.0,0.0,1234.0,10019.0,10019.0
2001-12-01,5582408.0,91700.0,9058.0,216865.0,2441509.0,1731117.0,915496.0,0.0,811909.0,5900031.0,5900031.0,6394.0,920.0,87.0,1025.0,3744.0,2303.0,1040.0,0.0,1339.0,8426.0,8426.0
2002-01-01,4976427.0,81994.0,6669.0,36567.0,1976283.0,1802004.0,779989.0,263231.0,280150.0,5101657.0,5101657.0,6526.0,786.0,63.0,279.0,3254.0,2287.0,1046.0,235.0,832.0,7654.0,7654.0
2002-02-01,5805277.0,96825.0,7435.0,33642.0,2837466.0,1971905.0,527504.0,283103.0,323201.0,5943179.0,5943179.0,8434.0,875.0,68.0,202.0,4685.0,2809.0,970.0,218.0,897.0,9579.0,9579.0
2002-03-01,10076569.0,222085.0,9506.0,38885.0,4305284.0,3847193.0,921972.0,534067.0,738529.0,10347045.0,10347045.0,15205.0,1899.0,98.0,187.0,9040.0,4767.0,1548.0,507.0,1527.0,17389.0,17389.0
