,총수주액[백만원],공공부문[백만원],중앙정부[백만원],지방자치단체[백만원],공기업[백만원],기타공공단체[백만원],민간부문[백만원],제조업[백만원],비제조업[백만원],국내외국기관[백만원],민자[백만원],건축[백만원],주택[백만원],사무실 및 점포[백만원],공장 및 창고[백만원],관공서[백만원],기타[백만원],토목[백만원],치산 및 치수[백만원],농림 및 수산[백만원],도로 및 교량[백만원],항만 및 공항[백만원],철도 및 궤도[백만원],상하수도[백만원],발전 및 송전[백만원],토지조성[백만원],댐[백만원],기계설치[백만원],기타[백만원],조경공사[백만원]
1976-01-01,12592.0,9664.0,2037.0,3844.0,3243.0,540.0,2928.0,2434.0,494.0,,,2231.0,186.0,928.0,862.0,239.0,16.0,10361.0,1.0,225.0,5655.0,3122.0,0.0,35.0,953.0,97.0,0.0,239.0,34.0,
1976-02-01,8230.0,4156.0,797.0,1954.0,1216.0,189.0,4074.0,1760.0,2314.0,,,3762.0,246.0,847.0,1955.0,85.0,629.0,4468.0,5.0,144.0,419.0,700.0,0.0,38.0,23.0,1973.0,0.0,691.0,475.0,
1976-03-01,22261.0,14173.0,1864.0,4764.0,7078.0,467.0,7419.0,4060.0,3359.0,669.0,,11678.0,3706.0,2217.0,3454.0,1308.0,993.0,10583.0,253.0,4107.0,3779.0,560.0,213.0,134.0,230.0,321.0,0.0,717.0,269.0,
1976-04-01,45920.0,25729.0,11859.0,6088.0,6693.0,1089.0,20161.0,4498.0,15663.0,30.0,,25276.0,13984.0,6724.0,1556.0,2403.0,609.0,20644.0,413.0,1394.0,2887.0,3989.0,801.0,1584.0,340.0,1289.0,1.0,6694.0,1252.0,
1976-05-01,48992.0,43014.0,23978.0,10847.0,6969.0,1220.0,5775.0,2578.0,3197.0,203.0,,16548.0,5521.0,2021.0,1703.0,6268.0,1035.0,32444.0,1987.0,345.0,8691.0,9655.0,647.0,7414.0,485.0,875.0,168.0,598.0,1579.0,
1976-06-01,62560.0,53962.0,32696.0,6280.0,13459.0,1527.0,7409.0,3385.0,4024.0,1189.0,,23172.0,7144.0,4065.0,3673.0,7059.0,1231.0,39388.0,830.0,1751.0,16687.0,8262.0,320.0,2632.0,1911.0,2776.0,2768.0,982.0,469.0,
1976-07-01,36839.0,25905.0,11579.0,6950.0,5562.0,1814.0,9804.0,3213.0,6591.0,1130.0,,23266.0,6809.0,5130.0,4415.0,4697.0,2215.0,13573.0,295.0,697.0,6839.0,243.0,363.0,732.0,104.0,2683.0,17.0,793.0,807.0,
1976-08-01,91528.0,83225.0,65361.0,7332.0,9495.0,1037.0,7975.0,4414.0,3561.0,328.0,,17323.0,3489.0,3610.0,3203.0,5206.0,1815.0,74205.0,318.0,430.0,61888.0,3030.0,391.0,631.0,2244.0,3178.0,0.0,142.0,1953.0,
1976-09-01,64257.0,55978.0,15475.0,9907.0,28908.0,1688.0,7871.0,3994.0,3877.0,408.0,,19756.0,1951.0,5714.0,7231.0,3297.0,1563.0,44501.0,259.0,3322.0,11745.0,322.0,386.0,529.0,21101.0,2760.0,14.0,1875.0,2188.0,
1976-10-01,28569.0,21942.0,2805.0,10806.0,6356.0,1975.0,6198.0,2793.0,3405.0,429.0,,12611.0,1168.0,3798.0,2411.0,3493.0,1741.0,15958.0,302.0,3175.0,3424.0,312.0,659.0,2778.0,945.0,671.0,2721.0,879.0,92.0,
