,전국[호],부산[호],충북[호],충남[호],대구[호],대전[호],강원[호],광주[호],경기[호],인천[호],제주[호],전북[호],전남[호],경북[호],경남[호],민간부문[호],공공부문[호],부문별[호],세종[호],서울[호],울산[호]
2007-01-01,12038.0,455.0,188.0,1004.0,818.0,55.0,452.0,1022.0,2647.0,69.0,132.0,888.0,206.0,698.0,1691.0,11718.0,320.0,12038.0,,1530.0,183.0
2007-02-01,29789.0,1554.0,493.0,2310.0,3549.0,89.0,642.0,2200.0,5517.0,185.0,232.0,1490.0,700.0,2942.0,4206.0,28311.0,1478.0,29789.0,,2324.0,1356.0
2007-03-01,49827.0,3675.0,1187.0,4200.0,4596.0,154.0,1031.0,3547.0,8705.0,1115.0,337.0,2153.0,1091.0,5256.0,6527.0,48285.0,1542.0,49827.0,,4212.0,2041.0
2007-04-01,69013.0,4039.0,1651.0,4901.0,5110.0,235.0,2185.0,3773.0,12692.0,4452.0,485.0,2627.0,2310.0,6480.0,7576.0,67439.0,1574.0,69013.0,,6175.0,4322.0
2007-05-01,100210.0,4936.0,2331.0,7988.0,5685.0,746.0,2698.0,5844.0,25860.0,4663.0,563.0,3542.0,2663.0,7330.0,12754.0,96172.0,4038.0,100210.0,,8041.0,4566.0
2007-06-01,130436.0,5171.0,4880.0,9588.0,6572.0,1173.0,4233.0,5983.0,32931.0,10012.0,1006.0,3865.0,5753.0,8514.0,14468.0,118309.0,12127.0,130436.0,,9934.0,6353.0
2007-07-01,176284.0,5171.0,4880.0,9588.0,6572.0,1173.0,4233.0,5983.0,32931.0,10012.0,1006.0,3865.0,5753.0,8514.0,14468.0,162730.0,13554.0,176284.0,,9934.0,6353.0
2007-08-01,224745.0,5171.0,4880.0,9588.0,6572.0,1173.0,4233.0,5983.0,32931.0,10012.0,1006.0,3865.0,5753.0,8514.0,14468.0,206862.0,17883.0,224745.0,,9934.0,6353.0
2007-09-01,280490.0,5171.0,4880.0,9588.0,6572.0,1173.0,4233.0,5983.0,32931.0,10012.0,1006.0,3865.0,5753.0,8514.0,14468.0,248041.0,32449.0,280490.0,,9934.0,6353.0
2007-10-01,384307.0,5171.0,4880.0,9588.0,6572.0,1173.0,4233.0,5983.0,32931.0,10012.0,1006.0,3865.0,5753.0,8514.0,14468.0,323212.0,61095.0,384307.0,,9934.0,6353.0
2007-11-01,459792.0,37455.0,15177.0,24380.0,13214.0,5606.0,8874.0,14364.0,159013.0,33603.0,2103.0,8065.0,14428.0,22160.0,24915.0,373963.0,85829.0,459792.0,,55087.0,21348.0
2007-12-01,555792.0,41254.0,19983.0,29317.0,18174.0,11180.0,10677.0,13088.0,198138.0,41571.0,2176.0,11842.0,15255.0,24285.0,31503.0,398803.0,156989.0,555792.0,,62842.0,24507.0
2008-01-01,20876.0,628.0,664.0,1098.0,6983.0,294.0,1304.0,46.0,3445.0,931.0,823.0,161.0,196.0,350.0,1415.0,19604.0,1272.0,20876.0,,1401.0,1137.0
2008-02-01,34122.0,1263.0,971.0,1463.0,7080.0,2988.0,1517.0,88.0,5970.0,2691.0,922.0,396.0,527.0,965.0,2061.0,31879.0,2243.0,34122.0,,3978.0,1242.0
2008-03-01,51438.0,2407.0,1486.0,2964.0,7178.0,3043.0,2193.0,3187.0,9718.0,3861.0,1154.0,754.0,1491.0,2500.0,3068.0,49195.0,2243.0,51438.0,,5040.0,1394.0
