,총지수[2019.01=100],단독주택[2019.01=100],연립주택[2019.01=100],아파트[2019.01=100],아파트(서울)[2019.01=100],총지수(서울)[2019.01=100]
1986-01-01,34.656,61.347,43.053,20.973,17.153,30.044
1986-02-01,34.656,61.347,42.925,20.973,17.183,30.044
1986-03-01,34.708,61.513,42.733,20.935,17.153,30.002
1986-04-01,34.449,61.097,42.733,20.819,17.034,29.837
1986-05-01,34.293,60.848,41.837,20.664,16.945,29.588
1986-06-01,34.137,60.682,41.709,20.548,16.766,29.381
1986-07-01,34.034,60.599,41.581,20.432,16.707,29.298
1986-08-01,34.034,60.599,41.581,20.394,16.707,29.298
1986-09-01,34.034,60.599,41.581,20.432,16.737,29.298
1986-10-01,34.034,60.599,41.39,20.432,16.677,29.174
1986-11-01,33.826,60.432,41.134,20.239,16.499,28.925
1986-12-01,33.722,60.266,40.942,20.085,16.291,28.718
1987-01-01,33.67,60.349,40.43,20.046,16.291,28.718
1987-02-01,33.618,60.349,40.174,19.969,16.231,28.635
1987-03-01,33.567,60.266,40.174,19.969,16.142,28.469
1987-04-01,33.618,60.349,40.174,19.969,16.023,28.386
1987-05-01,33.618,60.349,39.918,20.008,16.023,28.345
1987-06-01,33.618,60.432,39.726,20.008,15.964,28.179
1987-07-01,33.67,60.432,39.854,20.085,15.964,28.138
1987-08-01,33.826,60.682,39.982,20.201,16.112,28.179
1987-09-01,35.123,62.677,41.326,21.05,16.588,28.884
1987-10-01,35.642,63.591,41.965,21.553,16.826,29.132
1987-11-01,36.057,64.339,42.285,21.9,17.034,29.256
1987-12-01,36.109,64.422,41.965,21.977,17.064,29.298
1988-01-01,36.576,65.171,42.285,22.441,17.391,29.505
1988-02-01,37.458,66.334,43.373,23.175,18.045,30.292
1988-03-01,38.391,67.914,44.844,23.87,18.461,30.914
1988-04-01,39.17,69.244,45.484,24.372,18.847,31.494
1988-05-01,39.533,69.493,45.868,24.874,19.056,31.536
1988-06-01,39.844,69.992,46.187,25.145,19.145,31.536
1988-07-01,40.259,70.241,46.891,25.801,19.799,31.826
1988-08-01,41.245,71.571,48.043,26.728,20.512,32.489
1988-09-01,41.141,71.571,48.17,26.535,20.274,32.323
1988-10-01,41.089,71.488,48.426,26.458,20.126,32.24
1988-11-01,40.778,71.073,47.851,26.11,19.799,31.826
1988-12-01,40.882,70.989,47.851,26.381,20.215,31.95
1989-01-01,41.349,71.239,48.362,27.076,20.988,32.447
1989-02-01,42.646,72.818,50.026,28.505,22.385,33.939
1989-03-01,43.839,74.564,51.945,29.548,23.217,35.265
1989-04-01,45.655,76.725,54.184,31.363,24.793,37.006
1989-05-01,46.018,77.39,55.143,31.672,24.525,37.047
1989-06-01,46.122,77.556,55.463,31.556,24.02,36.757
1989-07-01,46.018,77.806,55.271,31.247,23.634,36.591
1989-08-01,46.018,77.723,55.655,31.209,23.634,36.633
1989-09-01,46.122,78.138,55.591,31.17,23.544,36.757
1989-10-01,46.381,78.388,55.975,31.44,23.901,37.006
1989-11-01,46.64,78.803,56.295,31.595,24.02,37.254
1989-12-01,46.848,79.219,56.487,31.711,24.02,37.254
1990-01-01,47.263,79.884,57.19,32.174,24.615,37.876
1990-02-01,49.598,83.541,60.453,33.758,26.101,40.114
1990-03-01,50.739,84.788,62.436,34.917,27.171,40.984
1990-04-01,52.347,86.7,64.995,36.577,29.074,42.849
1990-05-01,52.918,87.199,65.571,37.234,29.46,43.097
1990-06-01,53.074,87.282,65.955,37.62,29.698,43.18
1990-07-01,53.229,87.531,66.019,37.852,29.906,43.387
1990-08-01,53.644,87.698,66.466,38.47,30.382,43.76
1990-09-01,55.045,89.526,68.002,39.783,31.511,45.086
1990-10-01,55.771,90.441,69.025,40.71,32.195,45.708
1990-11-01,56.498,90.94,69.665,41.676,33.087,46.247
1990-12-01,56.705,91.106,69.985,41.946,33.057,46.288
1991-01-01,57.017,91.522,70.433,42.41,33.563,46.661
1991-02-01,57.743,92.02,71.456,43.105,34.306,47.241
1991-03-01,58.677,93.184,72.48,44.109,35.525,48.277
1991-04-01,59.974,94.597,74.463,45.5,36.625,49.438
1991-05-01,59.922,94.763,74.335,45.422,36.208,49.106
1991-06-01,59.662,94.597,73.823,44.959,35.554,48.609
1991-07-01,59.403,94.348,73.567,44.65,35.406,48.526
1991-08-01,59.144,94.182,73.375,44.341,35.198,48.319
1991-09-01,58.936,94.098,73.183,43.955,34.722,48.112
1991-10-01,58.521,93.683,72.736,43.414,34.157,47.656
1991-11-01,57.328,92.436,71.072,42.178,32.671,46.288
1991-12-01,56.394,91.438,69.729,41.174,31.571,45.294
1992-01-01,56.135,91.023,69.473,40.942,31.511,45.128
1992-02-01,56.031,90.857,69.281,40.865,31.452,45.086
1992-03-01,55.875,90.607,68.897,40.71,31.452,44.921
1992-04-01,55.564,90.358,68.577,40.44,31.214,44.672
1992-05-01,54.941,89.526,67.746,39.899,30.501,43.843
1992-06-01,54.319,88.778,66.85,39.243,29.817,43.18
1992-07-01,53.904,88.113,66.083,38.972,29.668,42.766
1992-08-01,53.956,87.864,66.146,39.243,30.293,43.014
1992-09-01,54.371,88.196,66.786,39.745,30.917,43.677
1992-10-01,54.267,88.03,66.722,39.667,30.739,43.47
1992-11-01,53.956,87.615,66.274,39.436,30.53,43.18
1992-12-01,53.592,87.033,65.763,39.127,30.203,42.849
1993-01-01,53.489,86.783,65.635,39.088,30.322,42.849
1993-02-01,53.696,86.866,65.955,39.397,30.798,43.097
1993-03-01,53.696,86.866,66.019,39.436,30.709,43.014
1993-04-01,53.489,86.534,65.763,39.204,30.441,42.766
1993-05-01,53.177,86.118,65.379,38.972,30.144,42.476
1993-06-01,52.866,85.703,65.123,38.663,29.787,42.103
1993-07-01,52.607,85.287,64.803,38.47,29.698,41.937
1993-08-01,52.451,85.038,64.611,38.354,29.639,41.854
1993-09-01,52.347,84.788,64.483,38.277,29.549,41.771
1993-10-01,52.295,84.705,64.419,38.238,29.49,41.688
1993-11-01,52.14,84.456,64.227,38.2,29.46,41.564
1993-12-01,52.036,84.29,64.163,38.084,29.371,41.481
1994-01-01,52.036,84.206,64.099,38.122,29.431,41.523
1994-02-01,52.088,84.123,64.163,38.238,29.609,41.688
1994-03-01,52.088,84.123,64.163,38.277,29.639,41.606
1994-04-01,52.036,84.04,64.099,38.238,29.609,41.564
1994-05-01,51.984,83.957,64.099,38.2,29.549,41.523
1994-06-01,51.932,83.874,64.035,38.2,29.52,41.523
1994-07-01,51.88,83.791,64.035,38.161,29.52,41.523
1994-08-01,51.932,83.791,63.971,38.2,29.549,41.564
1994-09-01,52.036,83.791,64.163,38.354,29.728,41.688
1994-10-01,52.036,83.791,64.163,38.431,29.728,41.688
1994-11-01,51.984,83.791,64.099,38.354,29.728,41.688
1994-12-01,51.984,83.708,64.099,38.354,29.728,41.688
1995-01-01,51.932,83.541,64.035,38.354,29.728,41.606
1995-02-01,51.932,83.541,64.035,38.431,29.758,41.688
1995-03-01,51.984,83.541,64.035,38.509,29.817,41.73
1995-04-01,51.984,83.458,64.035,38.586,29.936,41.73
1995-05-01,51.932,83.375,64.035,38.547,29.817,41.606
1995-06-01,51.932,83.292,64.035,38.547,29.817,41.606
1995-07-01,51.88,83.209,63.971,38.509,29.787,41.564
1995-08-01,51.88,83.126,63.971,38.547,29.906,41.564
1995-09-01,51.932,83.126,64.035,38.663,29.936,41.606
1995-10-01,51.932,83.209,64.099,38.663,29.817,41.564
1995-11-01,51.88,83.126,64.035,38.625,29.758,41.481
