,총지수[2019.01=100],단독주택[2019.01=100],연립주택[2019.01=100],아파트[2019.01=100],아파트(서울)[2019.01=100],총지수(서울)[2019.01=100]
1986-01-01,17.601,35.506,18.059,10.793,9.782,16.755
1986-02-01,17.853,35.731,18.155,11.104,10.195,17.066
1986-03-01,18.273,36.553,18.823,11.446,10.55,17.573
1986-04-01,18.651,37.151,19.158,11.695,10.787,18.002
1986-05-01,18.693,37.151,19.301,11.726,10.875,18.04
1986-06-01,18.651,37.151,19.301,11.664,10.787,17.963
1986-07-01,18.609,37.076,19.253,11.633,10.787,17.924
1986-08-01,18.651,37.151,19.253,11.726,10.875,17.963
1986-09-01,18.945,37.599,19.54,12.037,11.318,18.352
1986-10-01,19.071,37.898,19.54,12.131,11.348,18.43
1986-11-01,18.777,37.375,19.158,11.851,10.875,17.846
1986-12-01,18.609,37.151,18.919,11.602,10.521,17.495
1987-01-01,18.525,37.076,18.823,11.633,10.698,17.534
1987-02-01,18.819,37.375,19.015,11.944,11.082,17.885
1987-03-01,19.365,38.347,19.827,12.348,11.496,18.508
1987-04-01,19.911,39.468,20.448,12.722,11.85,18.976
1987-05-01,20.037,39.618,20.591,12.846,11.909,19.093
1987-06-01,20.205,39.917,20.687,12.908,11.998,19.17
1987-07-01,20.247,39.917,20.734,12.971,11.998,19.131
1987-08-01,20.331,40.141,20.782,13.064,12.087,19.209
1987-09-01,21.34,42.084,21.738,13.779,12.678,19.989
1987-10-01,21.76,42.981,22.216,13.966,12.796,20.339
1987-11-01,22.18,43.729,22.407,14.277,13.062,20.573
1987-12-01,22.222,44.028,22.359,14.277,13.062,20.69
1988-01-01,22.474,44.476,22.454,14.495,13.298,20.846
1988-02-01,23.188,45.672,23.458,15.023,13.86,21.742
1988-03-01,24.28,47.915,24.652,15.645,14.481,22.95
1988-04-01,25.078,49.634,25.082,16.081,14.806,23.573
1988-05-01,25.246,49.933,25.225,16.33,14.865,23.573
1988-06-01,25.414,50.382,25.225,16.361,14.687,23.379
1988-07-01,25.456,50.531,25.273,16.392,14.717,23.379
1988-08-01,25.918,51.279,25.655,16.734,14.953,23.651
1988-09-01,26.002,51.503,25.608,16.734,14.924,23.651
1988-10-01,25.834,51.279,25.655,16.641,14.746,23.379
1988-11-01,25.456,50.531,25.178,16.299,14.215,22.677
1988-12-01,25.162,49.933,24.986,16.174,13.978,22.21
1989-01-01,25.414,50.232,25.321,16.392,14.333,22.521
1989-02-01,26.212,51.279,26.563,17.17,15.219,23.534
1989-03-01,27.137,52.998,27.614,17.854,16.017,24.859
1989-04-01,28.271,55.016,28.952,18.725,16.904,26.184
1989-05-01,28.523,55.465,29.095,18.849,16.756,26.223
1989-06-01,28.397,55.39,29.143,18.694,16.431,25.95
1989-07-01,28.313,55.39,29.191,18.445,16.165,25.833
1989-08-01,28.397,55.39,29.191,18.663,16.608,26.067
1989-09-01,29.069,56.287,29.955,19.378,17.761,27.275
1989-10-01,29.573,57.035,30.433,19.969,18.381,27.782
1989-11-01,29.615,57.259,30.433,19.907,18.352,27.665
1989-12-01,29.573,57.259,30.433,19.782,18.115,27.47
1990-01-01,30.329,58.38,31.006,20.529,19.238,28.6
1990-02-01,33.942,65.407,35.354,22.8,21.809,32.73
1990-03-01,34.74,66.827,36.5,23.39,22.371,33.47
1990-04-01,35.538,68.098,37.742,24.013,22.844,34.133
1990-05-01,35.202,67.5,37.313,23.795,22.253,33.198
1990-06-01,34.782,66.603,37.074,23.484,21.78,32.457
1990-07-01,34.572,66.154,37.121,23.359,22.637,32.185
1990-08-01,34.74,66.079,37.121,23.67,22.075,32.34
1990-09-01,35.16,66.752,37.647,24.168,22.726,32.886
1990-10-01,35.328,66.976,37.981,24.324,22.844,33.003
1990-11-01,35.328,66.528,37.79,24.635,23.464,33.081
1990-12-01,34.53,65.108,37.313,23.919,22.4,31.912
