,전국[%],서울[%],부산[%],대구[%],인천[%],광주[%],대전[%],울산[%],세종[%],경기[%],강원[%],충북[%],충남[%],전북[%],전남[%],경북[%],경남[%],제주[%]
2005-01-01,0.226,0.192,0.083,0.212,0.145,0.156,0.196,0.137,,0.374,0.142,0.221,0.463,0.108,0.099,0.163,0.14,0.15
2005-02-01,0.184,0.14,0.065,0.208,0.208,0.08,0.206,0.153,,0.256,0.169,0.178,0.531,0.084,0.071,0.135,0.16,0.111
2005-03-01,0.348,0.403,0.119,0.278,0.47,0.154,0.674,0.18,,0.324,0.257,0.227,1.154,0.085,0.139,0.161,0.225,0.102
2005-04-01,0.525,0.725,0.151,0.258,0.751,0.159,0.917,0.149,,0.591,0.221,0.358,0.804,0.071,0.127,0.209,0.291,0.181
2005-05-01,0.562,0.59,0.185,0.254,0.693,0.291,0.85,0.131,,0.882,0.229,0.476,0.883,0.094,0.152,0.224,0.31,0.247
2005-06-01,0.798,1.312,0.178,0.263,0.667,0.26,0.827,0.14,,0.904,0.219,0.659,0.81,0.099,0.234,0.197,0.288,0.241
2005-07-01,0.477,0.497,0.177,0.284,0.499,0.207,0.627,0.282,,0.725,0.252,0.753,0.616,0.158,0.204,0.171,0.261,0.178
2005-08-01,0.457,0.697,0.174,0.268,0.318,0.144,0.534,0.282,,0.47,0.268,0.413,0.449,0.135,0.328,0.133,0.256,0.157
2005-09-01,0.193,0.239,0.16,0.2,0.189,0.099,0.227,-0.048,,0.207,0.188,0.146,0.214,0.107,0.148,0.075,0.143,0.131
2005-10-01,0.291,0.523,0.152,0.2,0.19,0.045,0.232,0.026,,0.205,0.172,0.082,0.343,0.115,0.129,0.102,0.196,0.242
2005-11-01,0.404,0.628,0.176,0.35,0.294,0.122,0.554,0.235,,0.237,0.206,0.558,0.787,0.151,0.514,0.212,0.236,0.132
2005-12-01,0.405,0.434,0.226,0.493,0.408,0.133,0.76,0.377,,0.338,0.279,0.803,0.973,0.164,0.278,0.391,0.267,0.23
2006-01-01,0.355,0.343,0.182,0.543,0.338,0.136,0.57,0.243,,0.361,0.273,0.768,0.841,0.145,0.18,0.298,0.241,0.217
2006-02-01,0.42,0.561,0.207,0.403,0.329,0.185,0.509,0.287,,0.352,0.228,0.561,1.013,0.114,0.188,0.305,0.205,0.221
2006-03-01,0.529,0.867,0.199,0.371,0.414,0.169,0.509,0.24,,0.411,0.223,0.613,0.895,0.103,0.185,0.272,0.211,0.168
2006-04-01,0.506,0.779,0.196,0.34,0.394,0.124,0.545,0.118,,0.494,0.242,0.553,0.618,0.122,0.205,0.279,0.254,0.12
2006-05-01,0.483,0.837,0.169,0.301,0.387,0.129,0.402,0.096,,0.41,0.253,0.454,0.372,0.107,0.184,0.212,0.24,0.157
2006-06-01,0.438,0.736,0.18,0.315,0.435,0.199,0.267,0.105,,0.379,0.227,0.295,0.318,0.114,0.187,0.179,0.254,0.165
2006-07-01,0.399,0.686,0.209,0.318,0.409,0.136,0.23,0.112,,0.333,0.181,0.217,0.241,0.099,0.137,0.168,0.21,0.172
2006-08-01,0.398,0.686,0.206,0.29,0.416,0.094,0.223,0.162,,0.344,0.197,0.189,0.211,0.112,0.148,0.149,0.177,0.151
2006-09-01,0.446,0.8,0.219,0.267,0.517,0.079,0.186,0.326,,0.368,0.168,0.182,0.237,0.072,0.137,0.135,0.174,0.139
2006-10-01,0.492,0.832,0.194,0.283,0.572,0.061,0.221,0.382,,0.506,0.181,0.142,0.22,0.092,0.13,0.152,0.171,0.182
2006-11-01,0.517,0.865,0.288,0.35,0.653,0.067,0.212,0.346,,0.514,0.15,0.162,0.211,0.093,0.105,0.162,0.188,0.184
2006-12-01,0.492,0.815,0.218,0.326,0.578,0.053,0.203,0.483,,0.49,0.169,0.153,0.238,0.111,0.109,0.177,0.207,0.23
2007-01-01,0.36,0.517,0.215,0.358,0.451,0.054,0.212,0.328,,0.4,0.165,0.128,0.168,0.114,0.093,0.173,0.186,0.184
2007-02-01,0.318,0.462,0.192,0.297,0.379,0.047,0.196,0.325,,0.353,0.13,0.106,0.154,0.118,0.083,0.143,0.161,0.14
2007-03-01,0.285,0.402,0.192,0.266,0.405,0.042,0.173,0.184,,0.315,0.131,0.126,0.141,0.091,0.08,0.147,0.158,0.104
2007-04-01,0.261,0.347,0.187,0.272,0.42,0.078,0.146,0.199,,0.29,0.136,0.11,0.144,0.086,0.073,0.146,0.146,0.072
2007-05-01,0.261,0.342,0.189,0.263,0.411,0.071,0.147,0.239,,0.301,0.141,0.109,0.132,0.1,0.071,0.14,0.146,0.086
2007-06-01,0.273,0.378,0.182,0.242,0.444,0.059,0.141,0.183,,0.298,0.129,0.109,0.136,0.104,0.068,0.138,0.147,0.099
2007-07-01,0.292,0.405,0.174,0.209,0.39,0.111,0.074,0.203,,0.366,0.093,0.096,0.127,0.081,0.064,0.136,0.14,0.148
2007-08-01,0.298,0.474,0.161,0.191,0.375,0.084,0.06,0.198,,0.32,0.114,0.082,0.142,0.083,0.071,0.123,0.127,0.147
2007-09-01,0.325,0.515,0.148,0.167,0.349,0.115,0.057,0.249,,0.361,0.14,0.081,0.152,0.079,0.085,0.112,0.229,0.107
2007-10-01,0.36,0.605,0.178,0.165,0.357,0.085,0.074,0.336,,0.366,0.132,0.085,0.174,0.103,0.097,0.107,0.242,0.113
2007-11-01,0.387,0.656,0.157,0.218,0.344,0.103,0.078,0.226,,0.376,0.14,0.1,0.24,0.101,0.231,0.126,0.246,0.167
2007-12-01,0.4,0.627,0.168,0.225,0.421,0.088,0.114,0.195,,0.402,0.2,0.125,0.298,0.144,0.286,0.179,0.269,0.292
2008-01-01,0.368,0.532,0.167,0.227,0.466,0.083,0.142,0.18,,0.401,0.188,0.136,0.254,0.111,0.175,0.164,0.25,0.136
2008-02-01,0.393,0.591,0.176,0.219,0.457,0.07,0.129,0.173,,0.413,0.19,0.141,0.252,0.315,0.173,0.162,0.236,0.135
2008-03-01,0.465,0.703,0.196,0.297,0.434,0.103,0.141,0.176,,0.469,0.198,0.148,0.247,1.271,0.181,0.167,0.22,0.144
2008-04-01,0.508,0.777,0.197,0.259,0.512,0.11,0.128,0.208,,0.51,0.158,0.151,0.257,1.378,0.19,0.175,0.225,0.167
2008-05-01,0.481,0.715,0.199,0.251,0.537,0.091,0.142,0.214,,0.54,0.146,0.154,0.277,0.523,0.203,0.166,0.217,0.174
2008-06-01,0.473,0.664,0.223,0.212,0.607,0.103,0.125,0.199,,0.512,0.151,0.132,0.298,1.007,0.219,0.189,0.225,0.206
2008-07-01,0.425,0.597,0.203,0.207,0.596,0.093,0.115,0.205,,0.479,0.162,0.129,0.31,0.264,0.231,0.189,0.215,0.221
2008-08-01,0.426,0.586,0.207,0.258,0.673,0.124,0.116,0.189,,0.468,0.142,0.133,0.329,0.271,0.22,0.198,0.218,0.224
2008-09-01,0.322,0.398,0.19,0.239,0.723,0.089,0.076,0.147,,0.33,0.121,0.124,0.306,0.191,0.215,0.173,0.217,0.175
2008-10-01,0.04,-0.242,0.103,0.183,0.586,0.042,0.052,0.113,,0.154,0.075,0.045,0.188,0.14,0.189,0.141,0.155,0.121
2008-11-01,-1.44,-2.721,-0.354,-1.076,-0.401,-0.487,-0.788,-0.046,,-1.339,-0.193,-0.533,-1.031,-0.564,-0.548,-0.525,-0.018,-0.234
2008-12-01,-2.725,-3.487,-1.664,-1.707,-3.745,-1.31,-1.339,-2.017,,-3.138,-0.956,-1.116,-1.779,-2.301,-1.177,-1.32,-2.033,-1.476
2009-01-01,-0.756,-0.914,-0.408,-0.536,-0.924,-0.23,-0.271,-0.253,,-1.026,-0.182,-0.295,-0.555,-0.915,-0.235,-0.386,-0.176,-0.546
2009-02-01,-0.352,-0.437,-0.191,-0.281,-0.396,-0.149,-0.186,-0.144,,-0.446,-0.086,-0.16,-0.306,-0.254,-0.107,-0.249,-0.122,-0.26
2009-03-01,-0.093,-0.033,-0.087,-0.138,-0.076,-0.112,-0.122,-0.093,,-0.153,-0.039,-0.069,-0.155,-0.074,-0.053,-0.14,-0.069,-0.172
2009-04-01,0.066,0.209,-0.023,-0.053,0.132,-0.063,-0.048,-0.038,,0.03,-0.017,-0.018,-0.032,-0.009,-0.014,-0.063,-0.025,-0.079
2009-05-01,0.115,0.204,-0.006,0.029,0.154,-0.015,-0.012,0.001,,0.132,0.005,0.01,0.046,0.017,0.019,0.024,0.017,0.049
2009-06-01,0.166,0.263,0.015,0.043,0.241,0.008,0.013,0.038,,0.208,0.028,0.035,0.083,0.05,0.041,0.062,0.036,0.041
2009-07-01,0.206,0.276,0.029,0.053,0.314,0.038,0.021,0.061,,0.295,0.048,0.054,0.119,0.067,0.051,0.08,0.055,0.055
2009-08-01,0.363,0.631,0.07,0.075,0.41,0.063,0.068,0.085,,0.402,0.091,0.073,0.148,0.094,0.075,0.097,0.087,0.143
2009-09-01,0.305,0.387,0.078,0.087,0.434,0.146,0.123,0.111,,0.428,0.085,0.085,0.196,0.11,0.123,0.112,0.103,0.173
2009-10-01,0.296,0.299,0.176,0.264,0.509,0.17,0.198,0.126,,0.422,0.086,0.119,0.194,0.125,0.131,0.193,0.109,0.248
2009-11-01,0.299,0.242,0.208,0.348,0.55,0.227,0.234,0.158,,0.467,0.156,0.122,0.229,0.092,0.164,0.325,0.14,0.28
2009-12-01,0.342,0.269,0.248,0.396,0.633,0.25,0.243,0.256,,0.463,0.167,0.155,0.292,0.172,0.157,0.431,0.286,0.268
2010-01-01,0.253,0.247,0.13,0.273,0.446,0.113,0.119,0.118,,0.352,0.101,0.09,0.179,0.072,0.121,0.241,0.139,0.141
2010-02-01,0.234,0.259,0.131,0.161,0.328,0.083,0.113,0.095,,0.316,0.11,0.075,0.172,0.07,0.114,0.194,0.142,0.133
2010-03-01,0.209,0.21,0.131,0.137,0.303,0.076,0.111,0.097,,0.291,0.113,0.088,0.161,0.064,0.115,0.184,0.136,0.135
2010-04-01,0.139,0.052,0.14,0.132,0.205,0.051,0.101,0.1,,0.248,0.103,0.084,0.135,0.057,0.112,0.153,0.132,0.14
2010-05-01,0.102,0.004,0.133,0.136,0.166,0.048,0.095,0.073,,0.189,0.09,0.065,0.123,0.05,0.109,0.118,0.121,0.132
2010-06-01,0.047,-0.032,0.094,0.081,0.059,0.028,0.091,0.034,,0.092,0.052,0.061,0.104,0.037,0.091,0.067,0.104,0.112
2010-07-01,-0.002,-0.065,0.077,0.076,-0.013,0.019,0.088,0.019,,-0.007,0.038,0.041,0.064,0.032,0.076,0.031,0.08,0.079
2010-08-01,-0.007,-0.053,0.07,0.07,-0.031,0.016,0.11,0.012,,-0.024,0.032,0.022,0.05,0.031,0.064,0.028,0.057,0.06
2010-09-01,-0.042,-0.134,0.052,0.064,-0.056,0.053,0.123,0.033,,-0.053,0.036,0.015,0.029,0.043,0.062,0.036,0.054,0.051
2010-10-01,-0.033,-0.133,0.067,0.072,-0.022,0.036,0.135,0.02,,-0.033,0.043,0.019,0.028,0.053,0.064,0.035,0.073,0.041
2010-11-01,0.03,0.02,0.093,0.058,-0.025,0.026,0.23,0.04,,0.008,0.052,0.033,0.037,0.071,0.063,0.023,0.082,0.029
2010-12-01,0.113,0.153,0.09,0.133,0.068,0.116,0.224,0.093,,0.096,0.069,0.06,0.074,0.078,0.135,0.029,0.161,0.015
2011-01-01,0.091,0.122,0.081,0.105,0.056,0.083,0.168,0.059,,0.082,0.057,0.039,0.055,0.054,0.083,0.029,0.116,0.034
2011-02-01,0.089,0.122,0.099,0.136,0.057,0.073,0.114,0.047,,0.079,0.06,0.037,0.044,0.046,0.07,0.047,0.102,0.043
2011-03-01,0.108,0.154,0.12,0.134,0.061,0.074,0.09,0.076,,0.101,0.053,0.047,0.05,0.052,0.074,0.069,0.087,0.067
2011-04-01,0.098,0.116,0.129,0.092,0.062,0.07,0.075,0.099,,0.114,0.053,0.043,0.042,0.053,0.071,0.08,0.078,0.08
2011-05-01,0.097,0.088,0.12,0.094,0.064,0.065,0.219,0.088,,0.124,0.049,0.045,0.071,0.047,0.075,0.092,0.084,0.085
2011-06-01,0.1,0.074,0.128,0.092,0.058,0.067,0.16,0.104,,0.142,0.058,0.046,0.066,0.044,0.076,0.092,0.148,0.079
2011-07-01,0.101,0.067,0.12,0.083,0.046,0.06,0.115,0.122,,0.15,0.227,0.044,0.058,0.045,0.07,0.091,0.145,0.08
2011-08-01,0.094,0.052,0.116,0.068,0.055,0.066,0.09,0.103,,0.148,0.164,0.042,0.058,0.041,0.067,0.095,0.143,0.088
2011-09-01,0.094,0.049,0.142,0.102,0.052,0.045,0.084,0.093,,0.13,0.155,0.048,0.07,0.047,0.078,0.106,0.22,0.074
2011-10-01,0.095,0.043,0.164,0.153,0.052,0.048,0.083,0.091,,0.13,0.175,0.056,0.074,0.08,0.101,0.131,0.167,0.091
2011-11-01,0.095,0.037,0.173,0.168,0.046,0.047,0.115,0.099,,0.129,0.175,0.063,0.084,0.11,0.083,0.132,0.162,0.09
2011-12-01,0.098,0.038,0.176,0.162,0.047,0.05,0.146,0.108,,0.131,0.18,0.073,0.087,0.147,0.096,0.142,0.163,0.103
2012-01-01,0.087,0.031,0.149,0.15,0.043,0.057,0.125,0.099,,0.113,0.161,0.058,0.086,0.14,0.11,0.121,0.138,0.088
2012-02-01,0.091,0.045,0.149,0.146,0.041,0.067,0.133,0.101,,0.108,0.154,0.077,0.111,0.133,0.118,0.127,0.142,0.091
2012-03-01,0.12,0.098,0.159,0.149,0.126,0.096,0.138,0.136,,0.12,0.164,0.103,0.136,0.15,0.144,0.138,0.15,0.094
2012-04-01,0.116,0.104,0.159,0.145,0.05,0.096,0.118,0.125,,0.115,0.153,0.106,0.144,0.127,0.158,0.134,0.154,0.094
2012-05-01,0.112,0.094,0.158,0.138,0.06,0.111,0.114,0.143,,0.112,0.159,0.106,0.133,0.124,0.163,0.129,0.155,0.104
2012-06-01,0.097,0.058,0.146,0.125,0.045,0.101,0.112,0.132,,0.111,0.156,0.113,0.123,0.126,0.138,0.111,0.144,0.094
2012-07-01,0.065,-0.032,0.141,0.119,0.018,0.11,0.091,0.134,0.68,0.095,0.147,0.106,-0.109,0.12,0.119,0.114,0.15,0.096
